"","sentence","answer","direction","difficulty","itemId"
"1","A blanket can be very soft.",TRUE,"right","easy","lab_1"
"2","Fish have thumbs.",FALSE,"left","easy","lab_2"
"3","Sandwiches are food.",TRUE,"right","easy","lab_3"
"4","Some worms ride pumpkins to school.",FALSE,"left","easy","lab_4"
"5","Sweaters can be made of coal.",FALSE,"left","easy","lab_5"
"6","Some children are afraid of the dark.",TRUE,"right","easy","lab_6"
"7","A teacher is a person that works at a school.",TRUE,"right","easy","lab_7"
"8","The ocean is home to many aquatic animals.",TRUE,"right","easy","lab_8"
"9","Triangles have five sides.",FALSE,"left","easy","lab_9"
"10","Chefs cook meals in their beds.",FALSE,"left","easy","lab_10"
"11","People like to eat mud.",FALSE,"left","easy","lab_11"
"12","Children can be sad.",TRUE,"right","easy","lab_12"
"13","Cars have wheels.",TRUE,"right","easy","lab_13"
"14","All cars are yellow.",FALSE,"left","easy","lab_14"
"15","Trees have branches.",TRUE,"right","easy","lab_15"
"16","Soda is always brown.",FALSE,"left","easy","lab_16"
"17","Trash is thrown away in bathtubs.",FALSE,"left","easy","lab_17"
"18","Wolves are a type of monkey.",FALSE,"left","easy","lab_18"
"19","Children enjoy playing with toys.",TRUE,"right","easy","lab_19"
"20","All children are afraid of the sun.",FALSE,"left","easy","lab_20"
"21","It is usually dark at night.",TRUE,"right","easy","lab_21"
"22","Towels are often made of glass.",FALSE,"left","easy","lab_22"
"23","A pillow can be very soft.",TRUE,"right","easy","lab_23"
"24","A monkey has a face.",TRUE,"right","easy","lab_24"
"25","Eyeglasses can help you see better.",TRUE,"right","easy","lab_25"
"26","Some houses have back yards.",TRUE,"right","easy","lab_26"
"27","Soccer is a game you play with only your hands.",FALSE,"left","easy","lab_27"
"28","When you break a bone you normally have to wear a cast.",TRUE,"right","easy","lab_28"
"29","Computers need electricity to work.",TRUE,"right","easy","lab_29"
"30","Dogs always walk on two legs.",FALSE,"left","easy","lab_30"
"31","Basketball is a game that you play with a fork.",FALSE,"left","easy","lab_31"
"32","Spaceships are flown by cowboys.",FALSE,"left","easy","lab_32"
"33","Some kids take music lessons.",TRUE,"right","easy","lab_33"
"34","Grandparents can bring presents when they come to visit their family.",TRUE,"right","easy","lab_34"
"35","Trash cans are where you store extra notebook paper.",FALSE,"left","easy","lab_35"
"36","Most humans listen with their feet.",FALSE,"left","easy","lab_36"
"37","Chairs are alive.",FALSE,"left","easy","lab_37"
"38","People can buy tomatoes at the market.",TRUE,"right","easy","lab_38"
"39","Orange juice is always made of grapes.",FALSE,"left","easy","lab_39"
"40","Some people like to run for exercise in the morning.",TRUE,"right","easy","lab_40"
"41","Snails are usually very fast.",FALSE,"left","medium","lab_41"
"42","Apples grow on trees.",TRUE,"right","medium","lab_42"
"43","Some slugs ride elephants to school.",FALSE,"left","medium","lab_43"
"44","People drive cars on the road.",TRUE,"right","medium","lab_44"
"45","Students never get in trouble when they cheat on tests.",FALSE,"left","medium","lab_45"
"46","Whales have two legs.",FALSE,"left","medium","lab_46"
"47","Girls can listen to music with earphones.",TRUE,"right","medium","lab_47"
"48","A curtain is something you wear.",FALSE,"left","medium","lab_48"
"49","Many nurses work in hospitals.",TRUE,"right","medium","lab_49"
"50","Medicine is supposed to make you stay sick longer.",FALSE,"left","medium","lab_50"
"51","Many people paint pictures with screwdrivers.",FALSE,"left","medium","lab_51"
"52","The sun is bright.",TRUE,"right","medium","lab_52"
"53","It is faster to run than it is to walk.",TRUE,"right","medium","lab_53"
"54","Stores are where you go to buy things.",TRUE,"right","medium","lab_54"
"55","Elephants are large animals.",TRUE,"right","medium","lab_55"
"56","Kittens are young cats.",TRUE,"right","medium","lab_56"
"57","Blankets are made of metal.",FALSE,"left","medium","lab_57"
"58","People like to eat dust.",FALSE,"left","medium","lab_58"
"59","Most dogs wear leashes when they go for a walk.",TRUE,"right","medium","lab_59"
"60","Spiders like to drink orange juice out of coffee mugs.",FALSE,"left","medium","lab_60"
"61","Some kids love red crayons.",TRUE,"right","medium","lab_61"
"62","A doctor can work in a hospital that serves many people.",TRUE,"right","medium","lab_62"
"63","People can use cash to pay in stores.",TRUE,"right","medium","lab_63"
"64","Moms like eating hats.",FALSE,"left","medium","lab_64"
"65","Lizards like to cook pasta.",FALSE,"left","medium","lab_65"
"66","Many babies drink milk.",TRUE,"right","medium","lab_66"
"67","Air conditioners can lower the temperature of a room.",TRUE,"right","medium","lab_67"
"68","Every magician is a fairy.",FALSE,"left","medium","lab_68"
"69","People can wear socks to keep their feet warm.",TRUE,"right","medium","lab_69"
"70","People sometimes drink milk.",TRUE,"right","medium","lab_70"
"71","Most girls keep their books in a pond.",FALSE,"left","medium","lab_71"
"72","Every basketball player is on a school team.",FALSE,"left","medium","lab_72"
"73","Pockets can be used to keep change.",TRUE,"right","medium","lab_73"
"74","Baseball is a game that you play with a knife.",FALSE,"left","medium","lab_74"
"75","Lollipops are always made from vegetables.",FALSE,"left","medium","lab_75"
"76","Towels are used to make things dry.",TRUE,"right","medium","lab_76"
"77","Climbing up a mountain can be exhausting.",TRUE,"right","medium","lab_77"
"78","Some shoes have laces.",TRUE,"right","medium","lab_78"
"79","People drive cars in the sink.",FALSE,"left","medium","lab_79"
"80","A cactus may grow in the desert.",TRUE,"right","medium","lab_80"
"81","Most houses have grass on the ceiling.",FALSE,"left","medium","lab_81"
"82","Most houses are made of foam.",FALSE,"left","medium","lab_82"
"83","Dentists always give children candy and lemonade.",FALSE,"left","medium","lab_83"
"84","People brush their teeth with mayonnaise.",FALSE,"left","medium","lab_84"
"85","Eating only ice cream is healthy.",FALSE,"left","medium","lab_85"
"86","Cows sing at night.",FALSE,"left","medium","lab_86"
"87","The United States of America is in Africa.",FALSE,"left","medium","lab_87"
"88","Some girls play the piano.",TRUE,"right","medium","lab_88"
"89","Pets can keep people company.",TRUE,"right","medium","lab_89"
"90","Adults can be sad.",TRUE,"right","medium","lab_90"
"91","Blankets help keep you cold.",FALSE,"left","medium","lab_91"
"92","Puppies carry backpacks on their back.",FALSE,"left","medium","lab_92"
"93","When a traffic light is red you need to stop.",TRUE,"right","medium","lab_93"
"94","All flowers are yellow.",FALSE,"left","medium","lab_94"
"95","Friends can cheer you up when you are having a bad day.",TRUE,"right","medium","lab_95"
"96","Tigers sometimes swing at playgrounds.",FALSE,"left","medium","lab_96"
"97","Mice have ears.",TRUE,"right","medium","lab_97"
"98","Cloudy days are always warm.",FALSE,"left","medium","lab_98"
"99","Boys usually wash their hair with yogurt.",FALSE,"left","medium","lab_99"
"100","Umbrellas are useful for keeping people dry when it rains.",TRUE,"right","medium","lab_100"
"101","Bears can talk.",FALSE,"left","medium","lab_101"
"102","A picture can hang on the wall.",TRUE,"right","medium","lab_102"
"103","Some people like to read books before they go to sleep.",TRUE,"right","medium","lab_103"
"104","Adults are usually taller than their children.",TRUE,"right","medium","lab_104"
"105","Halloween is a holiday in February.",FALSE,"left","hard","lab_105"
"106","Most babies know how to drive a car.",FALSE,"left","hard","lab_106"
"107","Stones can be found near a river.",TRUE,"right","hard","lab_107"
"108","A raven is a bird.",TRUE,"right","hard","lab_108"
"109","Firefighters drive school busses while on duty.",FALSE,"left","hard","lab_109"
"110","Wheels are round.",TRUE,"right","hard","lab_110"
"111","Television shows are longer than movies.",FALSE,"left","hard","lab_111"
"112","Hats should be worn on your elbow.",FALSE,"left","hard","lab_112"
"113","Every child holds pencils with their left hand.",FALSE,"left","hard","lab_113"
"114","Snow always falls in the summer.",FALSE,"left","hard","lab_114"
"115","A gardener works at a bakery.",FALSE,"left","hard","lab_115"
"116","A cactus grows under the sea.",FALSE,"left","hard","lab_116"
"117","Some people get to work using a spaceship.",FALSE,"left","hard","lab_117"
"118","Friends can do many things together after school.",TRUE,"right","hard","lab_118"
"119","A tricycle has two wheels.",FALSE,"left","hard","lab_119"
"120","Ice helps to keep things cold.",TRUE,"right","hard","lab_120"
"121","People can use credit cards to pay in stores.",TRUE,"right","hard","lab_121"
"122","Another name for a present is a gift.",TRUE,"right","hard","lab_122"
"123","Dish washers make plates dirty.",FALSE,"left","hard","lab_123"
"124","Doors are always open.",FALSE,"left","hard","lab_124"
"125","Trampolines help you bounce higher.",TRUE,"right","hard","lab_125"
"126","Trashcans can become smelly if trash is left inside too long.",TRUE,"right","hard","lab_126"
"127","A mouse is a rodent that squeaks.",TRUE,"right","hard","lab_127"
"128","The weather in the winter can be unpredictable.",TRUE,"right","hard","lab_128"
"129","There are many types of lizards.",TRUE,"right","hard","lab_129"
"130","Most people play board games with at least one other person.",TRUE,"right","hard","lab_130"
